status_id,status_message,link_name,status_type,status_link,status_published,num_likes,first_page_comment,comments_beyond_pageone,num_comments,num_shares
278833668796523_1116608611685687,"#AcerIndia Opens Its First Flagship #Store In #Bangalore #Technology Acer India Acer computers Acer Education Technology Initiative Bangalore, India
http://www.pocketnewsalert.com/2016/03/Acer-India-Opens-Its-First-Flagship-Store-In-Bangalore.html",Acer India Opens Its First Flagship Store In Bangalore- Pocket News Alert,link,http://www.pocketnewsalert.com/2016/03/Acer-India-Opens-Its-First-Flagship-Store-In-Bangalore.html,3/11/2016 10:55,5,2,0,,
278833668796523_1116337361712812,Calling out all of Bangalore! Block your dates for Friday 10:30 AM. We’re inaugurating the all new Acer Lounge where the complete range of products will give you an unparalleled retail experience.,Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1116337361712812/?type=3,3/11/2016 0:00,31,9,4,,
278833668796523_1115961948417020,"Between the power-packed Acer Aspire V3 and the exciting offer it comes with, you’ll be spoilt for choice. 
But the best part? You can claim both! Know more: http://bit.ly/1Rjqeqo",Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1115961948417020/?type=3,3/10/2016 8:33,30,4,3,,
278833668796523_1115607475119134,"The biggest rip off is buying your products & specially when u say that you provide on-site service support. Your customer care tells me that My brand new Acer Laptop E5- 522G bought with extended warranty is covered for Hardware faults only, when I tell them that the keys from my keyboard are coming off. They say that is not covered as that is not hardware. Please explain what ""Ware"" is keyboard if it is not hardware and also how does warranty not be applicable on manufacturing defect?? SNID 54207308476",,status,,3/9/2016 16:30,0,1,0,,
278833668796523_1115342871812261,"While the enthralling TrueHarmony keeps you tuned in, the BlueLightShield feature protects your eyes making it a strain-free experience! This, and more with Acer Aspire F5 laptops: http://bit.ly/1Rjqeqo",Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1115342871812261/?type=3,3/9/2016 6:39,33,3,2,,
278833668796523_1115328271813721,"To Acer mobile team,

I have puchased Acer phone in July and since then I am facing issues with it. I have been to service centre almost for 6-7 times for different issues but still it is not resolved. They fix the issue and again it creates another issue.

My phone is there with the service centre for more than 30 days and it is still there with the service centre now and they are saying it will take time for the repalcement to take place or the issue to fixed.
Not sure when will I get it fixed and the repalcement for the same.
I am very dissatisfied the service provided from Acer.
Also please reply me as I not getting satisfactory reply from acersupport@sutherlandglobal.com; acersupport@hcl.com.

Reference number is 1695890I.

Please look into this matter.",,status,,3/9/2016 5:46,0,2,0,,
278833668796523_1115199768493238,"Dear team I was the winner of modern day patriot contest, when will I receive my prize?????",,status,,3/8/2016 23:51,1,1,0,,
278833668796523_1114697035210178,Women are the real architects of the society. Acer appreciates the courage and the strength of the women in our lives. Here’s wishing everyone a Happy Women’s Day!,Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1114697035210178/?type=3,3/8/2016 4:17,226,5,5,,
278833668796523_1114598115220070,"Dear sir, 
When u do ???
Plz reply dead line.

Regards
Mahesh singh

Sent from RediffmailNG on Android

From: ""acersupport""acersupport@sutherlandglobal.com
Sent:Sat, 05 Mar 2016 12:42:20 +0530
To: ""mahesh_singh1986@rediffmail.com"" mahesh_singh1986@rediffmail.com
Subject: Re: Laptop Replacement only AcerAPN Support [Incident:1334819]
Dear Mahesh,

Thank you for contacting Acer India Helpdesk.

We had forwarded your request to our regional head office. Once we get update we will revert back. requsting you kindly cooperate with us.

Our goal is to ensure that your experience with our support leaves you delighted with our products and services. Please feel free to contact us again for further assistance.

Thank you for choosing Acer. Looking forward for an everlasting and valued relationship.

Regards,
> Aneesh
> Acer Customer Support
> Help Desk No:
> Standalone Monitor , Commercial PC & Servers #1-800-11-4100 (Toll Free),044–40284100(Standard call charges will be applicable)
> Notebook & Projector #1-800-11-6677(toll Free)
> Smart Phone & TAB products via toll free # 1800 103 2237
> Email: acersupport@sutherlandglobal.com

>

> ------------------Original Message------------------
> From: mahesh_singh1986@rediffmail.com [mailto:mahesh_singh1986@rediffmail.com]
> Sent: Saturday, Mar 5 2016 8:16:52:283AM
> To: acersupport@sutherlandglobal.com
> Subject: Re: Laptop Replacement only AcerAPN Support [Incident:1334819]
> 
>
Dear sir ,
> Plz replace my laptop and give me a clear timeline and reply on mail otherwise I will see u in consumer court also.

Regards
> Mahesh singh
> Mbno. 09451998822
> Qno. III 613 ATP COLONY ANPARA SONBHADRA U.P 
> 231225

> Sent from RediffmailNG on Android
> 
> From: ""mahesh singh""mahesh_singh1986@rediffmail.com
> Sent:Tue, 01 Mar 2016 20:36:37 0530
> To: ""acersupport ""acersupport@sutherlandglobal.com
> Subject: Re: Laptop Replacement only AcerAPN Support [Incident:1334819]
>
Dear sir,
> >What happened , how much u take a time to replace , 
> >Plz reply asap

Regards
> >Mahesh singh
> >Mbno. 9451998822

> >Sent from RediffmailNG on Android
> >
> > From: ""acersupport""acersupport@sutherlandglobal.com
> >Sent:Sat, 27 Feb 2016 11:37:31 0530
> >To: ""mahesh_singh1986@rediffmail.com"" mahesh_singh1986@rediffmail.com
> >Subject: Re: Laptop Replacement only AcerAPN Support [Incident:1334819]
> >
Dear Sir/Madam,
> > > 
> > > Thank you for contacting Acer India Helpdesk.
> > > 
> > > We had forwarded your request to our regional head office. Once we get update we will revert back. Kindly cooperate.

> > > Our goal is to ensure that your experience with our support leaves you delighted with our products and services. Please feel free to contact us again for further assistance.
> > > 
> > > Thank you for choosing Acer. Looking forward for an everlasting and valued relationship.
> > > 
> > > Regards,
> > > 
> > > Mohamed Faizal
> > > Acer Customer Support
> > > Help Desk No:
> > > Standalone Monitor , Commercial PC & Servers #1-800-11-4100 (Toll Free),044–40284100(Standard call charges will be applicable)
> > > Notebook & Projector #1-800-11-6677(toll Free)
> > > Smart Phone & TAB products via toll free # 1800 103 2237
> > > Email: acersupport@sutherlandglobal.com
> > >

> > >

> > > ------------------Original Message------------------
> > > From: mahesh_singh1986@rediffmail.com [mailto:mahesh_singh1986@rediffmail.com]
> > > Sent: Thursday, Feb 25 2016 6:08:40:610PM
> > > To: acersupport@sutherlandglobal.com
> > > Subject: Re: Laptop Replacement only AcerAPN Support [Incident:1334819]
> > > 
> > >
Dear sir,
> > > What happened about may complaint against replacement plz reply ASAP

REGARDS
> > > MAHESH SINGH

MB NO. 9451998822

> > > Sent from RediffmailNG on Android
> > > 
> > > From: ""mahesh singh""mahesh_singh1986@rediffmail.com
> > > Sent:Tue, 23 Feb 2016 09:22:11 0530
> > > To: acersupport@sutherlandglobal.com
> > > Subject: Fw: Laptop Replacement only
> > > 
> > > >Sent from RediffmailNG on Android
> > > >
> > > > From: ""mahesh singh""mahesh_singh1986@rediffmail.com
> > > >Sent:Thu, 18 Feb 2016 17:16:24 0530
> > > >To: acersupport@sutherlandglobal.com
> > > >Subject: Fw: Laptop Replacement only
> > > >Note: Forwarded message attached
> > > > 
> > > > -- Original Message --
> > > > 
> > > > From: ""mahesh singh"" mahesh_singh1986@rediffmail.com
> > > > To: acersupport@sutherlandglobal.com
> > > > Cc: mahesh_singh1986@rediffmail.com
> > > > Subject: Laptop Replacement only
> > > >

Get your own FREE website, FREE domain & FREE mobile app with Company email.
Know More > Dear sir,
> > > > 
> > > > This is to inform that my complaint no. 1657019I and My address Mahesh singh, Qno. III- 613 ATP colony 
> > > > Anpara, Sonbhadra Uttar pradesh 231225, laptop Acer aspire E5-573, is not working, a problem is that 
> > > > unit is not able to start, and your service engineer ask me that a motherboard problem and he wants to 
> > > > open laptop, but i still stop him , plz don't open it, i want only replacement of this unit,
> > > > 
> > > > so i also send you scan attachment file Of bill , Serial no. , service report , and laptop 
> > > > configuration,
> > > > 
> > > > i hope You will understand my problem an replace It ASAP
> > > > 
> > > > Regards
> > > > 
> > > > Mahesh Singh
> > > > 
> > > > Qno. III- 613 ATP colony
> > > > anpara, sonbhadra Uttar pradesh
> > > > 231225
> > > > Ph. 9451998822
> > > > 
> > > > 
> > > >

Get your own FREE website, FREE domain & FREE mobile app with Company email.
Know More >
> > > >
Get your own FREE website, FREE domain & FREE mobile app with Company email.
Know More >
> > >
Get your own FREE website, FREE domain & FREE mobile app with Company email.
Know More >
This email message is for the sole use of the intended recipient(s) and may contain information that is confidential, privileged, proprietary and protected from disclosure by applicable law. Any unauthorized review, use, duplication, disclosure or distribution is strictly prohibited. If you are not the intended recipient, please contact the sender by reply email and immediately destroy all copies of this message, including electronic and hard copies. Thank you for your cooperation.
> > > 
> >
Get your own FREE website, FREE domain & FREE mobile app with Company email.
Know More >
>
Get your own FREE website, FREE domain & FREE mobile app with Company email.
Know More >
This email message is for the sole use of the intended recipient(s) and may contain information that is confidential, privileged, proprietary and protected from disclosure by applicable law. Any unauthorized review, use, duplication, disclosure or distribution is strictly prohibited. If you are not the intended recipient, please contact the sender by reply email and immediately destroy all copies of this message, including electronic and hard copies. Thank you for your cooperation.
> 
Get your own FREE website, FREE domain & FREE mobile app with Company email.  
Know More >",,status,,3/8/2016 0:22,0,1,0,,
278833668796523_1114597851886763,"Dear Mahesh,

Thank you for contacting Acer India Helpdesk.

We had forwarded your request to our regional head office. Once we get update we will revert back. requsting you kindly cooperate with us.

Our goal is to ensure that your experience with our support leaves you delighted with our products and services. Please feel free to contact us again for further assistance.

Thank you for choosing Acer.  Looking forward for an everlasting and valued relationship.

Regards,
Aneesh
Acer Customer Support
Help Desk No:
Standalone Monitor , Commercial PC & Servers #1-800-11-4100 (Toll Free),044–40284100(Standard call charges will be applicable)
Notebook & Projector #1-800-11-6677(toll Free)
Smart Phone & TAB products via toll free # 1800 103 2237
Email: acersupport@sutherlandglobal.com

------------------Original Message------------------
From: mahesh_singh1986@rediffmail.com [mailto:mahesh_singh1986@rediffmail.com]
Sent: Saturday, Mar 5 2016 8:16:52:283AM
To: acersupport@sutherlandglobal.com
Subject: Re: Laptop Replacement only AcerAPN Support [Incident:1334819]

Dear sir ,
Plz replace my laptop and give me a clear timeline and reply on mail otherwise I will see u in consumer court also.

Regards
Mahesh singh
Mbno. 09451998822
Qno. III 613 ATP COLONY ANPARA SONBHADRA U.P 
231225

Sent from RediffmailNG on Android

From: ""mahesh singh""mahesh_singh1986@rediffmail.com
Sent:Tue, 01 Mar 2016 20:36:37 0530
To: ""acersupport ""acersupport@sutherlandglobal.com
Subject: Re: Laptop Replacement only AcerAPN Support [Incident:1334819]
Dear sir,
>What happened , how much u take a time to replace , 
>Plz reply asap

Regards
>Mahesh singh
>Mbno. 9451998822

>Sent from RediffmailNG on Android
>
> From: ""acersupport""acersupport@sutherlandglobal.com
>Sent:Sat, 27 Feb 2016 11:37:31 0530
>To: ""mahesh_singh1986@rediffmail.com"" mahesh_singh1986@rediffmail.com
>Subject: Re: Laptop Replacement only AcerAPN Support [Incident:1334819]
>
Dear Sir/Madam,
> > 
> > Thank you for contacting Acer India Helpdesk.
> > 
> > We had forwarded your request to our regional head office. Once we get update we will revert back. Kindly cooperate.

> > Our goal is to ensure that your experience with our support leaves you delighted with our products and services. Please feel free to contact us again for further assistance.
> > 
> > Thank you for choosing Acer. Looking forward for an everlasting and valued relationship.
> > 
> > Regards,
> > 
> > Mohamed Faizal
> > Acer Customer Support
> > Help Desk No:
> > Standalone Monitor , Commercial PC & Servers #1-800-11-4100 (Toll Free),044–40284100(Standard call charges will be applicable)
> > Notebook & Projector #1-800-11-6677(toll Free)
> > Smart Phone & TAB products via toll free # 1800 103 2237
> > Email: acersupport@sutherlandglobal.com
> >

> >

> > ------------------Original Message------------------
> > From: mahesh_singh1986@rediffmail.com [mailto:mahesh_singh1986@rediffmail.com]
> > Sent: Thursday, Feb 25 2016 6:08:40:610PM
> > To: acersupport@sutherlandglobal.com
> > Subject: Re: Laptop Replacement only AcerAPN Support [Incident:1334819]
> > 
> >
Dear sir,
> > What happened about may complaint against replacement plz reply ASAP

REGARDS
> > MAHESH SINGH

MB NO. 9451998822

> > Sent from RediffmailNG on Android
> > 
> > From: ""mahesh singh""mahesh_singh1986@rediffmail.com
> > Sent:Tue, 23 Feb 2016 09:22:11 0530
> > To: acersupport@sutherlandglobal.com
> > Subject: Fw: Laptop Replacement only
> > 
> > >Sent from RediffmailNG on Android
> > >
> > > From: ""mahesh singh""mahesh_singh1986@rediffmail.com
> > >Sent:Thu, 18 Feb 2016 17:16:24 0530
> > >To: acersupport@sutherlandglobal.com
> > >Subject: Fw: Laptop Replacement only
> > >Note: Forwarded message attached
> > > 
> > > -- Original Message --
> > > 
> > > From: ""mahesh singh"" mahesh_singh1986@rediffmail.com
> > > To: acersupport@sutherlandglobal.com
> > > Cc: mahesh_singh1986@rediffmail.com
> > > Subject: Laptop Replacement only
> > >

Get your own FREE website, FREE domain & FREE mobile app with Company email.
Know More > Dear sir,
> > > 
> > > This is to inform that my complaint no. 1657019I and My address Mahesh singh, Qno. III- 613 ATP colony 
> > > Anpara, Sonbhadra Uttar pradesh 231225, laptop Acer aspire E5-573, is not working, a problem is that 
> > > unit is not able to start, and your service engineer ask me that a motherboard problem and he wants to 
> > > open laptop, but i still stop him , plz don't open it, i want only replacement of this unit,
> > > 
> > > so i also send you scan attachment file Of bill , Serial no. , service report , and laptop 
> > > configuration,
> > > 
> > > i hope You will understand my problem an replace It ASAP
> > > 
> > > Regards
> > > 
> > > Mahesh Singh
> > > 
> > > Qno. III- 613 ATP colony
> > > anpara, sonbhadra Uttar pradesh
> > > 231225
> > > Ph. 9451998822
> > > 
> > > 
> > >

Get your own FREE website, FREE domain & FREE mobile app with Company email.
Know More >
> > >
Get your own FREE website, FREE domain & FREE mobile app with Company email.
Know More >
> >
Get your own FREE website, FREE domain & FREE mobile app with Company email.
Know More >
This email message is for the sole use of the intended recipient(s) and may contain information that is confidential, privileged, proprietary and protected from disclosure by applicable law. Any unauthorized review, use, duplication, disclosure or distribution is strictly prohibited. If you are not the intended recipient, please contact the sender by reply email and immediately destroy all copies of this message, including electronic and hard copies. Thank you for your cooperation.
> > 
>
Get your own FREE website, FREE domain & FREE mobile app with Company email.
Know More >
Get your own FREE website, FREE domain & FREE mobile app with Company email.  
Know More >
This email message is for the sole use of the intended recipient(s) and may contain information that is confidential, privileged, proprietary and protected from disclosure by applicable law. Any unauthorized review, use, duplication, disclosure or distribution is strictly prohibited. If you are not the intended recipient, please contact the sender by reply email and immediately destroy all copies of this message, including electronic and hard copies. Thank you for your cooperation.",,status,,3/8/2016 0:20,0,0,0,,
278833668796523_1114203608592854,"The powerful Acer Aspire V3 comes loaded with Dolby Digital PlusTM Surround Sound. An experience so captivating, you can’t help losing yourself in it! Explore: http://bit.ly/1Rjqeqo",Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1114203608592854/?type=3,3/7/2016 6:30,37,4,3,,
278833668796523_1112783458734869,Powerful NVIDIA Graphics and Full HD display in Acer Aspire V3 make for a visual delight! Buy now and avail a limited period offer: http://bit.ly/1Rjqeqo,Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1112783458734869/?type=3,3/5/2016 6:30,31,5,3,,
278833668796523_1112185168794698,"Unique Acer BlueLightShield feature in Acer Aspire F5 protects your eyes from harmful radiation. So when the fun times start, you don’t have to stop! http://bit.ly/1Rjqeqo",Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1112185168794698/?type=3,3/4/2016 8:19,44,3,5,,
278833668796523_1111592772187271,"High-class entertainment at your fingertips! Buy an Acer Aspire V3 and take home FREE Antivirus and Data Recovery Software. What’s more? 2 years Extended Warranty at just ₹ 2,999 extra. http://bit.ly/1Rjqeqo",Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1111592772187271/?type=3,3/3/2016 6:30,51,9,1,,
278833668796523_1111202512226297,"mere laptop me VGA support nhi kr rha h???koi bta skta h kyu nhi le rha h download kiya VGA????
Model-V5-571 i3",,status,,3/2/2016 13:41,1,2,0,,
278833668796523_1111024552244093,"Unwind is an understatement with Acer Aspire F5 series laptops. TrueHarmony Sound, Faster WiFi, Bluetooth 4.2, & other exciting features to revel in! Buy now: http://bit.ly/1Rjqeqo",Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1111024552244093/?type=3,3/2/2016 6:30,60,6,9,,
278833668796523_1110557678957447,"Acer BlueLightShield, Acer TrueHarmony sound, Faster WiFi & other features that you’ll just not get enough of. Get an Acer Aspire F5 laptop at an offer that’s just as amazing! Here’s all you need to know: http://bit.ly/1Rjqeqo",Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1110557678957447/?type=3,3/1/2016 7:14,48,7,5,,
278833668796523_1110443592302189,"Po@st-Budget Quote | S. Rajendran, CMO, #ACERIndia #Technology Acer India 
http://www.pocketnewsalert.com/2016/02/Post-Budget-Quote-S-Rajendran-CMO-ACER-India.html","Post-Budget Quote | S. Rajendran, CMO, ACER India- Pocket News Alert",link,http://www.pocketnewsalert.com/2016/02/Post-Budget-Quote-S-Rajendran-CMO-ACER-India.html,3/1/2016 2:42,1,0,0,,
278833668796523_1109981962348352,"What’s better than a power-packed Acer Aspire V3 laptop with Full HD screen, Dolby sound and backlit keyboard? An Aspire V3 with an exclusive offer! Get FREE Antivirus + Data Recovery Software, and 2 years Extended Warranty at just ₹ 2999 extra. http://bit.ly/1Rjqeqo",Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1109981962348352/?type=3,2/29/2016 6:30,48,10,3,,
278833668796523_1109414289071786,"Flaunt its superior textile finish or drool over its superfast WiFi, Acer Aspire F5 laptops will impress you in more ways than one. Buy now and get FREE Antivirus + Data Recovery Software! http://bit.ly/1Rjqeqo",Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1109414289071786/?type=3,2/28/2016 5:30,63,9,4,,
278833668796523_1108857889127426,"Get home an Acer Aspire V3 laptop and you will forget what boring is. NVIDIA Graphics, Full HD Display, up to 7-hr battery back-up and lots more. Buy it today at a special offer: http://bit.ly/1Rjqeqo",Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1108857889127426/?type=3,2/27/2016 5:30,51,6,5,,
278833668796523_1108375882508960,"Dolby Digital Plus, Home Theater Sound, NVIDIA Graphics, Full HD Display and a host of features that will blow you away! Get Acer Aspire V3 at an offer that’s just as exciting as its features. http://bit.ly/1Rjqeqo",Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1108375882508960/?type=3,2/26/2016 7:56,41,14,6,,
278833668796523_1686064871669209,"Acer also presented on the MWC the Liquid Z630 S Android phone as well as the Aspire Switch 12 S 2-in-1 tablet/notebook with an elegant aluminum unibody. See both devices in action in this hands-on video by mobiwatch.NET:
https://www.youtube.com/watch?v=szzc7ixj1W8",Acer Liquid Z630 S + Aspire Switch 12 S: Video Review,video,https://www.youtube.com/watch?v=szzc7ixj1W8,2/26/2016 7:10,0,0,0,,
278833668796523_1686060391669657,Acer showed on the Mobile World Congress the Liquid Jade Primo with Windows 10 and Continnum: hands-on video by mobiwatch.NET: https://www.youtube.com/watch?v=EElDFmTrxQQ,Acer Liquid Jade Primo: Windows 10 Continuum Tried Out,video,https://www.youtube.com/watch?v=EElDFmTrxQQ,2/26/2016 6:48,0,0,0,,
278833668796523_1107828862563662,"Work won’t seem like work with Acer Aspire F5 laptops. Skype for business, Acer True Harmony, Bluetooth 4.2 and other features to keep you going – unplugged! Buy now at a special offer. http://bit.ly/1Rjqeqo  . Powered by 6th Gen Intel® Core™ Processors.",Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1107828862563662/?type=3,2/25/2016 8:43,1152,18,12,,
278833668796523_1107526135927268,please no one buy acer laptop.,,status,,2/24/2016 20:51,2,1,0,,
278833668796523_1107210382625510,Looking for that perfect mix of style & performance? You can never go wrong with Acer Aspire F5 series laptops. Now available at an exciting offer. Limited offer only http://bit.ly/1Rjqeqo Powered by 6th Gen Intel® Core™ Processors.,Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1107210382625510/?type=3,2/24/2016 8:28,6315,37,26,,
278833668796523_1106720052674543,,Acer India's cover photo,photo,https://www.facebook.com/acerindia/photos/a.381566755189880.98096.278833668796523/1106720022674546/?type=3,2/23/2016 9:22,99,12,9,,
278833668796523_1106701569343058,"Dolby Digital Plus, Home Theater Sound, NVIDIA Graphics, full HD Display and a host of features that will blow you away! Get Acer Aspire V3 at an offer that’s just as exciting as its features. Powered by 6th Gen Intel® Core™ Processors. http://bit.ly/1Rjqeqo",Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1106701569343058/?type=3,2/23/2016 8:40,76,13,11,,
278833668796523_888737417909654,"Acer Liquid Jade 2 with Snapdragon 808 chipset goes official

Link: http://www.thetecholic.com/acer-liquid-jade-2-snapdragon-808-chipset-goes-official/",Acer Liquid Jade 2 with Snapdragon 808 chipset goes official,link,http://www.thetecholic.com/acer-liquid-jade-2-snapdragon-808-chipset-goes-official/,2/22/2016 23:09,0,0,0,,
278833668796523_1106274606052421,"How can you say winner is selected through lucky draw. As the terms its said its on the basis of quality of answer.
Please reply. #AcerIndia",,status,,2/22/2016 12:27,1,2,0,,
278833668796523_1106201472726401,"Bring your hands together for our lucky winner 20th and 21st February- @Deepti Goel
Congratulations! Please inbox us your details so we can send your prize at the earliest.",Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1106201472726401/?type=3,2/22/2016 9:32,90,58,5,,
278833668796523_1106114619401753,"Hi i need a urgent help, recently i bought aspire vn7-592g laptop from Dubai, it came with windows 10 , i am finding it difficult to work on windows 10 since my software freezes or doesn't open at all, just need to know does this machine is compatible with windows 8.1 and where can i get the drivers for this machine",,status,,2/22/2016 6:13,0,1,0,,
278833668796523_194695250892594,"Nominate your favourite Gadget! CNBC-Awaaz Brings to you the first Tech Guru where we'll meet the masters of Technology - Abhishek Telang - 'Tech Guru' Watch this space for more details. #Techguru #Awards #Techguruawards #CNBC #Gadgetsawards #India #Participate #Vote #Gadgets #mobile #apps
https://www.facebook.com/techguruawards/videos/171900686512440/?__mref=message_bubble",Tech Guru Awards,video,https://www.facebook.com/techguruawards/videos/171900686512440/,2/22/2016 6:11,0,0,0,,
278833668796523_194666520895467,"Nominate your favourite Gadget! CNBC-Awaaz Brings to you the first Tech Guru where we'll meet the masters of Technology - Abhishek Telang - 'Tech Guru'

Watch this space for more details.

#Techguru #Awards #Techguruawards #CNBC #Gadgetsawards #India #Participate #Vote #Gadgets #mobile #apps",Tech Guru Awards,video,https://www.facebook.com/techguruawards/videos/171900686512440/,2/22/2016 4:55,1,0,0,,
278833668796523_1106032949409920,Working very heard on the contest hope to win this time dear,,status,,2/22/2016 3:10,0,1,0,,
278833668796523_1106032879409927,Good noon dear,,status,,2/22/2016 3:10,0,0,0,,
278833668796523_1106007722745776,Good morning Acer India 😘💻,,status,,2/22/2016 1:21,0,0,0,,
